1,android/support/v4/view
2,android/support/v4/widget
3,android/support/v4/media
4,com/github/egonw/isotopes
5,org/openscience/cdk
6,android/support/v4/app
7,android/support/v4/util
8,android/support/v4/content
9,android/support/v4/text
10,javax/vecmath
11,android/support/v4/net
12,android/support/v4/hardware/display
13,android/support/v4/graphics/drawable
14,android/support/v4/database
15,android/support/v4/accessibilityservice
16,android/support/v4/os
17,android/support/v4/internal/view
