1,android/annotation
2,android/support/v4/accessibilityservice
3,android/support/v4/app
4,android/support/v4/content
5,android/support/v4/database
6,android/support/v4/graphics/drawable
7,android/support/v4/hardware/display
8,android/support/v4/internal/view
9,android/support/v4/media
10,android/support/v4/net
11,android/support/v4/os
12,android/support/v4/print
13,android/support/v4/text
14,android/support/v4/util
15,android/support/v4/view
16,android/support/v4/widget
17,com/jefftharris/passwdsafe
18,org/bouncycastle
19,org/pwsafe/lib
20,org/pwsafe/util
