1,org/pwsafe/lib org/pwsafe/util
2,android/support/v4/app android/support/v4/content android/support/v4/media android/support/v4/util android/support/v4/view android/support/v4/widget
3,com/jefftharris/passwdsafe
4,android/support/v4/graphics/drawable
5,android/support/v4/os
6,android/support/v4/print
7,android/support/v4/text
8,android/support/v4/net
9,android/support/v4/hardware/display
10,android/support/v4/database
11,android/support/v4/accessibilityservice
12,android/annotation
13,android/support/v4/internal/view
14,org/bouncycastle
