1, android/support/v13/app android/support/v4/app android/support/v4/util android/support/v4/content android/support/v4/view android/support/v4/widget com/jcraft/jsch org/eclipse/jgit/api org/eclipse/jgit/lib org/eclipse/jgit/transport org/eclipse/jgit/revwalk org/eclipse/jgit/internal org/eclipse/jgit/util org/eclipse/jgit/dircache org/eclipse/jgit/treewalk org/eclipse/jgit/merge org/eclipse/jgit/diff org/eclipse/jgit/errors org/eclipse/jgit/patch org/eclipse/jgit/blame org/eclipse/jgit/submodule org/eclipse/jgit/notes org/eclipse/jgit/storage/file org/eclipse/jgit/revplot me/sheimi/android/activities me/sheimi/android/views me/sheimi/sgit me/sheimi/android/utils org/eclipse/jgit/storage/pack org/eclipse/jgit/ignore org/eclipse/jgit/fnmatch com/nostra13/universalimageloader/cache/disc com/nostra13/universalimageloader/core com/nostra13/universalimageloader/utils com/nostra13/universalimageloader/cache/memory org/eclipse/jgit/events android/support/v4/internal/view org/eclipse/jgit/nls org/apache/commons/io
2, android/support/v4/accessibilityservice
3, android/support/v4/database
4, android/support/v4/graphics/drawable
5, android/support/v4/hardware/display
6, android/support/v4/media
7, android/support/v4/net
8, android/support/v4/os
9, android/support/v4/print
10, android/support/v4/text
