1,junit/extensions junit/framework
2,junit/textui
3,junit/runner
4,junit/awtui
5,junit/swingui
6,android/test
7,android/support/v4/view
8,android/support/v4/widget
9,android/support/v13/app
10,android/support/v4/media
11,android/support/v4/app
12,android/support/v4/util
13,android/support/v4/content
14,de/greenrobot/event
15,com/vmihalachi/turboeditor
16,org/apache/commons/io
17,android/support/v4/text
18,it/gmariotti/changelibs
19,android/support/v4/net
20,android/support/v4/hardware/display
21,android/support/v4/graphics/drawable
22,android/support/v4/database
23,android/support/v4/accessibilityservice
24,android/annotation
25,android/support/v4/os
26,android/support/v4/internal/view
